ANO_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS,NR_LOCAL_VOTACAO
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,91,44444,ANDERSON CARNEIRO DA SILVA,1,1120
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,92,44444,ANDERSON CARNEIRO DA SILVA,1,1120
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,95,44444,ANDERSON CARNEIRO DA SILVA,1,1139
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,99,44444,ANDERSON CARNEIRO DA SILVA,4,1139
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,100,44444,ANDERSON CARNEIRO DA SILVA,3,1139
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,103,44444,ANDERSON CARNEIRO DA SILVA,1,1147
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,105,44444,ANDERSON CARNEIRO DA SILVA,1,1147
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,113,44444,ANDERSON CARNEIRO DA SILVA,1,1163
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,114,44444,ANDERSON CARNEIRO DA SILVA,1,1171
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,117,44444,ANDERSON CARNEIRO DA SILVA,1,1015
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,120,44444,ANDERSON CARNEIRO DA SILVA,1,1155
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,121,44444,ANDERSON CARNEIRO DA SILVA,2,1163
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,122,44444,ANDERSON CARNEIRO DA SILVA,1,1171
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,125,44444,ANDERSON CARNEIRO DA SILVA,1,1015
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,128,44444,ANDERSON CARNEIRO DA SILVA,2,1163
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,133,44444,ANDERSON CARNEIRO DA SILVA,1,1015
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,134,44444,ANDERSON CARNEIRO DA SILVA,7,1163
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,136,44444,ANDERSON CARNEIRO DA SILVA,2,1163
2016,02/10/2016,SP,70750,SÃO BERNARDO DO CAMPO,70750,SÃO BERNARDO DO CAMPO,174,137,44444,ANDERSON CARNEIRO DA SILVA,3,1163
