Município,Nome,Endereço,Bairro,Seções,Seções Especiais,zona_eleitoral
SÃO BERNARDO DO CAMPO,EMEB REGINA ROCCO CASA I (ANTIGO CEU),"RUA TIRADENTES, 1845",SANTA TEREZINHA,494ª; 498ª; 500ª;,498ª;,174
SÃO BERNARDO DO CAMPO,EMEB RUI BARBOSA,"RUA BRAGA, 20",VILA LUSITÂNIA,308ª; 317ª; 343ª; 370ª; 392ª; 419ª;,308ª;,174
SÃO BERNARDO DO CAMPO,FACULDADE SAO BERNARDO - FASB,"RUA JOÃO PESSOA, 601",CENTRO,Da 11ª à 15ª; Da 24ª à 25ª; 243ª; 272ª; 286ª; 300ª; 366ª; 382ª; 395ª; 412ª; 427ª; 462ª;,300ª;,174
,,,,,,174
SÃO BERNARDO DO CAMPO,COLÉGIO DARWIN (ANTIGO COLÉGIO ANCHIETA),"AV. SENADOR VERGUEIRO, 505",JARDIM DO MAR,317ª; 326ª; 330ª; 340ª; 351ª; 360ª; 364ª; 366ª; 369ª; 372ª; Da 376ª à 377ª; 379ª;,330ª;,283
SÃO BERNARDO DO CAMPO,EE. ENGENHEIRO FRANCISCO PRESTES MAIA,"AVENIDA ÁLVARO GUIMARÃES, 350",PLANALTO,Da 66ª à 74ª; 203ª; 208ª; 220ª; 229ª; 240ª; 255ª; 267ª; 280ª; 375ª;,,283
SÃO BERNARDO DO CAMPO,EE. PROFª ANÉSIA LOUREIRO GAMA,"RUA EDUARDO DE OLIVEIRA, 35",JARDIM SILVESTRE,257ª; 270ª; 287ª; 298ª; 314ª; 319ª; 323ª; 328ª; 337ª; 345ª; 355ª; 371ª; 374ª;,257ª; 270ª; 287ª; 298ª; 314ª; 319ª; 323ª; 328ª; 337ª; 345ª; 355ª; 371ª; 374ª;,283
SÃO BERNARDO DO CAMPO,EE. PROF. ANTONIO NASCIMENTO,"AVENIDA PADRE ANCHIETA, 835",JORDANÓPOLIS,Da 86ª à 100ª; 226ª;,,283
SÃO BERNARDO DO CAMPO,EE. PROFª JULIETA VIANA SIMÕES DE SANT'ANNA,"AVENIDA ROSA AIZEMBERG, 680",VILA ROSA,Da 121ª à 128ª; 205ª; 336ª;,,283
SÃO BERNARDO DO CAMPO,EE. PROFª VILMA APPARECIDA ANSELMO SILVEIRA,"RUA JOÃO DOMINGOS TAVARES, 183",JARDIM CALUX,316ª; 322ª; 325ª; 331ª; 339ª; 342ª; Da 348ª à 349ª; 356ª; 358ª;,348ª;,283
