Município,Nome,Endereço,Bairro,Seções,Seções Especiais,zona_eleitoral
SÃO BERNARDO DO CAMPO,EE. PROFª MARIA PIRES,"ESTRADA DO VERGUEIRO, 631-A - JD. JUSSARA - B.BALNEÁRIA",BOTUJURU,Da 93ª à 99ª; 184ª; 231ª;,231ª;,409
SÃO BERNARDO DO CAMPO,EE. PROFª MARISTELA VIEIRA,"RUA PARAGUAÇU, 240 - ALVARENGA",JARDIM THELMA,Da 143ª à 149ª; 174ª; 187ª; 203ª;,,409
SÃO BERNARDO DO CAMPO,EE. SANTA DALMOLIN DEMARCHI,"RUA ANTONIO SERAFIM ZAMPIERI, 120 - DEMARCHI",JARDIM LAURO GOMES,Da 54ª à 63ª; 200ª;,200ª;,409
SÃO BERNARDO DO CAMPO,EEPSG DR. ADAIL LUIZ MULLER,"R MATEOS DEMARCHI, 181 - DEMARCHI",JARDIM DAS QUATRO MARIAS,Da 42ª à 53ª; 197ª;,197ª;,409
SÃO BERNARDO DO CAMPO,EM. ARLINDO MIGUEL TEIXEIRA,"ESTRADA DOS ALVARENGA, 7500",ALVARENGA,159ª; 171ª; 188ª; 201ª; 211ª; 223ª; 233ª; 253ª; 263ª; 284ª; 287ª; 290ª; 302ª; 309ª; 315ª; 320ª; 327ª; 333ª; 335ª; 343ª; 347ª; 354ª; 359ª; 364ª; 366ª; 373ª; 396ª; 404ª; Da 406ª à 407ª;,201ª;,409
SÃO BERNARDO DO CAMPO,EM. BOSKO PRERADOVIC,"RUA BRAZ CUBAS, 121 - ALVARENGA",JARDIM LAS PALMAS,276ª; 286ª; 291ª; 303ª; 308ª; 319ª; 328ª; 344ª; 361ª; 369ª; 380ª;,303ª;,409
SÃO BERNARDO DO CAMPO,EM. HEITOR VILLA LOBOS,"RUA MATEOS DEMARCHI, 229 - DEMARCHI",JARDIM DAS QUATRO MARIAS,162ª; 166ª; 208ª; 245ª; 261ª;,166ª;,409
SÃO BERNARDO DO CAMPO,EM. HELENA ZANFELICI DA SILVA,"RUA JOSÉ FARHAT, 80",FINCO,239ª; 268ª; 314ª; 376ª; 397ª;,268ª; 376ª;,409
SÃO BERNARDO DO CAMPO,EM. ISIDORO BATTISTIN,"ESTRADA GALVAO BUENO, 5085",BATISTINI,205ª; 219ª; 232ª; 237ª; 256ª; 265ª; 271ª; 294ª; 312ª; 318ª; 334ª; 360ª; 374ª; 387ª;,232ª; 265ª;,409
SÃO BERNARDO DO CAMPO,EM. JOSÉ ARNAUD DA SILVA,"RUA DAS PAINEIRAS, 01 - ALVARENGA",JARDIM PINHEIROS,279ª; 293ª; 323ª; 352ª; 386ª;,293ª;,409
SÃO BERNARDO DO CAMPO,EM. JOSÉ IBIAPINO FRANKLIN,"RUA EDMUNDO DOS SANTOS, 14 - NUCLEO STA CRUZ",SANTA CRUZ,Da 155ª à 157ª; 183ª; 214ª; 254ª; 292ª; 311ª; 356ª;,292ª;,409
SÃO BERNARDO DO CAMPO,EM. KAROLINA ZOFIA LEWANDOWSKA,"ESTRADA DA CAMA PATENTE, 510/520 - ALVARENGA",PARQUE ESMERALDA,296ª; 307ª; 322ª; 345ª; 368ª; 388ª;,296ª;,409
SÃO BERNARDO DO CAMPO,EM. MARIA ROSA BARBOSA,"ESTRADA DOS ALVARENGA, 1099",ALVARENGA,Da 6ª à 17ª; 242ª; 289ª; 298ª; 306ª; 310ª; 324ª; 331ª; 336ª; 346ª; 357ª;,298ª;,409
SÃO BERNARDO DO CAMPO,EM. NATALINA CUZZIOL FERRO,"RUA SALIM MAHFOUD, 965",PARQUE TERRA NOVA I I,275ª; 288ª; 305ª; 326ª; 340ª; 353ª; 363ª; 377ª; 391ª;,288ª;,409
SÃO BERNARDO DO CAMPO,EM. OCTÁVIO EDGARD DE OLIVEIRA,"RUA JOÃO SALDANHA, 424 - BATISTINI",PARQUE LOS ANGELES,240ª; 258ª; 272ª; 299ª; 329ª; 351ª; 371ª; 394ª;,258ª;,409
SÃO BERNARDO DO CAMPO,EM. PROF. PAULO FREIRE,"ESTRADA HENRIQUE ROSA, 411 - JD. TUPÃ",FINCO,241ª; 269ª; 285ª; 321ª; 370ª; 402ª;,269ª; 370ª;,409
SÃO BERNARDO DO CAMPO,EM. PROFª SUZETE APARECIDA DE CAMPOS,"RUA MARCÍLIO CONRADO, 350 - RIO GRANDE",RIACHO GRANDE,238ª; 267ª; 274ª; 313ª; 379ª; 399ª;,267ª; 379ª;,409
SÃO BERNARDO DO CAMPO,EM. PROF. WALDEMAR CANCIANI,"RUA JOSÉ MARTINS FERNANDES, 86 - BATISTINI",JARDIM DA REPRESA,164ª; 179ª; 213ª; 252ª; 281ª; 316ª; 339ª; 358ª; 383ª; 398ª;,252ª; 383ª;,409
SÃO BERNARDO DO CAMPO,EM. SEN. TEOTÔNIO VILELA,"RUA MATHILDE FERRARI MARÇON, 30",DEMARCHI,Da 1ª à 5ª; 192ª; 226ª; 264ª; 300ª; 304ª; 341ª; 395ª;,304ª;,409
SÃO BERNARDO DO CAMPO,EMEB ALFREDO SCARPELLI,"ESTRADA DOS ALVARENGA, 4090",JARDIM CAMPESTRE,367ª; 372ª; 378ª; 385ª; 389ª; 400ª;,385ª; 389ª;,409
SÃO BERNARDO DO CAMPO,EMEB ANTÔNIO DOS SANTOS FARIAS,"RUA IRATI, 11 - JD. REPRESA",BATISTINI,160ª; 170ª; 191ª; 218ª; 247ª; 295ª; 342ª; 382ª;,218ª;,409
SÃO BERNARDO DO CAMPO,EMEB BRUNO MASSONE,"RUA CINTRA, 20 - RIO GRANDE",ESTORIL,161ª; 207ª; 244ª; 297ª; 375ª; 390ª;,375ª;,409
SÃO BERNARDO DO CAMPO,EMEB FERNANDO PESSOA,"ESTRADA PONEY CLUB, 1533",JARDIM DAS ORQUÍDEAS,393ª; 405ª;,,409
SÃO BERNARDO DO CAMPO,EMEB FRANCISCO MIELE,"RUA ARMANDO BACKX, 401",JARDIM DAS ACÁCIAS,392ª.,,409
SÃO BERNARDO DO CAMPO,EMEB JOSE CATALDI,"RUA JOÃO GERBELLI, 330 - DEMARCHI",JARDIM ANDRÉA DEMARCHI,325ª; 338ª; 355ª; 362ª; 384ª; 401ª;,338ª; 384ª;,409
SÃO BERNARDO DO CAMPO,FUNDAÇÃO CASA - SÃO BERNARDO,"RUA SERVIDÃO PARTICULAR, 112",BATISTINI,365ª.,,409
,,,,,,409
SÃO BERNARDO DO CAMPO,COLÉGIO ARBOS,"RUA SERGIPE, 300",VILA JULIA,Da 127ª à 130ª; 162ª; 170ª; 176ª; 181ª; 188ª; 194ª; 210ª; 219ª; 234ª; 240ª; 249ª; 258ª; 264ª; 268ª;,127ª; 128ª; 129ª; 130ª; 162ª; 170ª; 176ª; 181ª; 188ª; 194ª; 210ª; 219ª; 234ª; 240ª; 249ª; 258ª; 264ª;,414
SÃO BERNARDO DO CAMPO,COLÉGIO PARAÍSO,"RUA AMPARO, 322",VILA BAETA NEVES,Da 139ª à 140ª; 167ª; 182ª; 192ª; 208ª; 216ª; 227ª; 232ª; 241ª; 250ª; 260ª; 266ª;,139ª; 140ª; 182ª; 192ª; 208ª; 216ª; 232ª; 241ª; 250ª; 260ª; 266ª;,414
SÃO BERNARDO DO CAMPO,EE. DR. BAETA NEVES,"RUA CAMPINAS, 118",VILA BAETA NEVES,Da 1ª à 17ª.,1ª; 2ª; 3ª; 4ª; 5ª; 6ª; 7ª;,414
SÃO BERNARDO DO CAMPO,EE. DR. JOSÉ FORNARI,"RUA APARECIDA, 198",VILA BAETA NEVES,Da 47ª à 59ª; 166ª; 172ª; 185ª; 196ª;,196ª;,414
SÃO BERNARDO DO CAMPO,EE. PROF. CLÓVIS DE LUCCA,"RUA DOS VIANAS, 1915",JARDIM FARINA,Da 73ª à 85ª.,73ª; 74ª; 75ª; 76ª; 77ª; 78ª; 79ª; 80ª; 81ª; 82ª; 83ª; 84ª; 85ª;,414
SÃO BERNARDO DO CAMPO,EE. PROF. MAURÍCIO ANTUNES FERRAZ,"RUA PRINCESA FRANCISCA CAROLINA, 555",JARDIM NOVA PETRÓPOLIS,Da 141ª à 160ª.,,414
SÃO BERNARDO DO CAMPO,EE. PROF. WALKER DA COSTA BARBOSA,AVENIDA LUIS PEQUINI S/N,JARDIM NASCIMENTO,163ª; 168ª; 171ª; 174ª; 179ª; 186ª; 189ª; 193ª; 204ª; 213ª; 222ª; 236ª; 242ª; 248ª; 259ª;,163ª; 168ª; 171ª; 174ª; 179ª; 186ª; 189ª; 193ª; 204ª; 213ª; 222ª; 236ª; 242ª; 248ª; 259ª;,414
SÃO BERNARDO DO CAMPO,EE. PROFA. MARIA LUÍZA FERRARI CICERO,"RUA SANTA ADELAIDE, 81",JARDIM MARIA ADELAIDE,Da 110ª à 120ª.,,414
SÃO BERNARDO DO CAMPO,EMEB. ALDINO PINOTTI,"RUA DOS VIANAS, 2399",JARDIM FARINA,Da 121ª à 126ª; 161ª; 200ª; 205ª; 218ª; 225ª; 230ª;,121ª; 122ª; 123ª; 124ª; 125ª; 126ª; 161ª; 200ª; 205ª; 218ª; 225ª; 230ª;,414
SÃO BERNARDO DO CAMPO,EMEB. ANA HENRIQUETA CLARK MARIM,"RUA DOS VIANAS, 3590",JARDIM INDUSTRIAL,Da 131ª à 134ª; 165ª; 187ª; 238ª; 254ª;,131ª; 132ª; 133ª; 134ª; 187ª; 254ª;,414
SÃO BERNARDO DO CAMPO,EMEB. ARIANO SUASSUNA,"RUA DOS VIANAS, 2300",VILA BAETA NEVES,256ª; 263ª; 269ª;,256ª; 263ª;,414
SÃO BERNARDO DO CAMPO,EMEB. CECÍLIA MEIRELES,"RUA CAMPINAS, 70",VILA BAETA NEVES,207ª; 212ª; 224ª; 235ª; 252ª;,207ª; 212ª; 224ª; 235ª; 252ª;,414
SÃO BERNARDO DO CAMPO,EMEB. GOFREDO TEIXEIRA DA SILVA TELLES,"RUA GIACINTO TOGNATO, 1672",VILA BAETA NEVES,Da 60ª à 72ª; 197ª; 203ª;,60ª; 61ª; 62ª; 63ª; 64ª; 65ª; 66ª; 67ª; 68ª; 69ª; 70ª; 71ª; 72ª; 197ª; 203ª;,414
SÃO BERNARDO DO CAMPO,EMEB. MARIA ADELAIDE,"AVENIDA SENADOR FLÁQUER, 979",VILA EUCLIDES,Da 98ª à 109ª; 199ª;,100ª; 101ª; 102ª; 103ª; 104ª; 105ª; 106ª; 107ª; 108ª; 109ª; 199ª;,414
SÃO BERNARDO DO CAMPO,EMEB. ODETTE EDITH PÉRIGO DE LIMA,RUA GIACINTO TOGNATO N 2400,NOVA BAETA,177ª; 180ª; 195ª; 229ª; 253ª;,180ª; 195ª; 253ª;,414
SÃO BERNARDO DO CAMPO,EMEB. PADRE ANGELO CERONI,"AVENIDA PERY RONCHETTI, S/N",JARDIM NASCIMENTO,Da 18ª à 35ª; 201ª; 231ª;,18ª; 19ª; 20ª; 21ª; 22ª; 23ª; 24ª; 25ª; 26ª; 27ª; 28ª; 29ª; 30ª; 31ª; 32ª; 33ª; 34ª; 35ª; 201ª; 231ª;,414
SÃO BERNARDO DO CAMPO,EMEB. PROFA. ANNITA MAGRINI GUEDES,"RUA AMERICANA, 102",VILA BAETA NEVES,Da 36ª à 46ª; 173ª; 184ª;,36ª; 37ª; 38ª; 39ª; 40ª; 41ª; 42ª; 43ª; 44ª; 45ª; 46ª; 173ª; 184ª;,414
SÃO BERNARDO DO CAMPO,EMEB. PROFA. JANETE MALLY BETTI SIMÕES,"RUA DOS VIANAS,S/N",JARDIM INDUSTRIAL,164ª; 175ª; 178ª; 191ª; 209ª; 220ª; 237ª; 245ª; 247ª; 261ª;,164ª; 175ª; 178ª; 191ª; 209ª; 220ª; 237ª; 245ª; 247ª; 261ª;,414
SÃO BERNARDO DO CAMPO,EMEB. PROFA. MARIA THEREZINHA BESANA,"RUA DOS VIANAS, 2897",JARDIM FARINA,Da 86ª à 97ª; 198ª; 202ª;,96ª; 97ª; 198ª; 202ª;,414
SÃO BERNARDO DO CAMPO,EMEB. PROFA. NADIA APARECIDA ISSA PINA,"AVENIDA IMPERATRIZ LEOPOLDINA, 1080",NOVA PETRÓPOLIS,Da 214ª à 215ª; 221ª; 233ª; 244ª; 251ª; 267ª;,215ª; 233ª; 251ª; 267ª;,414
SÃO BERNARDO DO CAMPO,EMEB. SANTOS DUMONT,"RUA DOUTOR AMÂNCIO DE CARVALHO, 161",VILA BAETA NEVES,257ª; 270ª;,257ª;,414
SÃO BERNARDO DO CAMPO,INBM. INSTITUTO DE ENSINO BARÃO DE MAUÁ,"AVENIDA SENADOR FLÁQUER, 555",VILA EUCLIDES,Da 135ª à 138ª; 169ª; 183ª; 190ª; 206ª; 211ª; 217ª; 226ª; 228ª; 239ª; 243ª; 246ª; 255ª; 262ª; 265ª;,135ª; 136ª; 137ª; 138ª; 169ª; 183ª; 190ª; 206ª; 211ª; 217ª; 228ª; 239ª; 246ª; 255ª; 262ª; 265ª;,414
SÃO BERNARDO DO CAMPO,SENAI - ALMIRANTE TAMANDARÉ ESCOLA,"AV PEREIRA BARRETO, 456",CENTRO,223ª.,223ª;,414
,,,,,,414
